Date,Recorder,Map,Player1,Player2,Player3,Player4,vs,Player5,Player6,Player7,Player8,link
10.03.2023,(Ден),Переход,Ден,Миша,Вадим,Бот,против,Данил,Ваня,Гриша,Бот,https://youtu.be/4Z_Ufr28A3A
10.03.2023,(Данил),Смерть в воздухе,Ден,Миша,Вадим,Юран,против,Данил,Ваня,Гриша,Савва,https://youtu.be/1D8iSGVFl98
10.03.2023,(Ден),Переход,Ден,Миша,Вадим,Бот,против,Данил,Ваня,Гриша,Бот,https://youtu.be/4Z7XSAdyl-I
10.03.2023,(Ден),Смерть в воздухе,Ден,Миша,Вадим,Юран,против,Данил,Ваня,Гриша,Савва,https://youtu.be/b4gpt8J90Tg
05.03.2023,(Сеньор),жертва,Сеньор,Вадим,Гриша,Бот,против,Данил,Ваня,Ондрей,Бот,https://youtu.be/RwT1qb1E_ws
05.03.2023,(Данил),жертва,Сеньор,Вадим,Гриша,Бот,против,Данил,Ваня,Ондрей,Бот,https://youtu.be/A4tUgEfEB0I
05.03.2023,(Сеньор),мрачный карнавал,Сеньор,Гриша,Ваня,Бот,против,Данил,Вадим,Ондрей,Бот,https://youtu.be/oQJX-ZJrxkM
05.03.2023,(Данил),мрачный карнавал,Сеньор,Гриша,Ваня,Бот,против,Данил,Вадим,Ондрей,Бот,https://youtu.be/I_0tMisqrNw
04.03.2023,(Сеньор),Вымерший центр,Гриша,Данил,Ден,Джун,против,Ваня,Сеньор,Миша,Бот,https://youtu.be/bWMY9Px-fMw
04.03.2023,(Данил),Вымерший центр,Гриша,Данил,Ден,Джун,против,Ваня,Сеньор,Миша,Бот,https://youtu.be/ajF4TCF0bRc
04.03.2023,(Ден),Приход,Гриша,Миша,Ден,Бот,против,Данил,Ваня,Сеньор,Джун,https://youtu.be/V5Up80xcCgs
04.03.2023,(Сеньор),Приход,Гриша,Миша,Ден,Бот,против,Данил,Ваня,Сеньор,Джун,https://youtu.be/4hNBisVdzxQ
26.02.2023,(Сеньор),Последний рубеж,Гриша,Вадим,Сеньор,Бот,против,Данил,Ваня,Ден,Бот,https://youtu.be/rNwJjyfqaWY
26.02.2023,(Данил),Последний рубеж,Гриша,Вадим,Ондрей,Ден,против,Данил,Ваня,Сеньор,Бот,https://youtu.be/nqRSgNl84UY
26.02.2023,(Данил),Ливень,Гриша,Вадим,Ондрей,Ден,против,Данил,Ваня,Сеньор,Бот,https://youtu.be/nqRSgNl84UY
26.02.2023,(Ден),Ливень,Гриша,Вадим,Ондрей,Ден,против,Данил,Ваня,Сеньор,Бот,https://youtu.be/dh0bbIxXCgI
25.02.2023,(Ден),Переход,Миша,Вадим,Ден,Джун,против,Сеньор,Данил,Ваня,Гриша,https://youtu.be/9nHyTauBQ7k
